temperaturaminima,temperaturamaxima,umidade,precipitacao,TempoConcetracao,vento,label
0.0,0.0,0.0,0.0,45.6,0.0,0
0.0,0.0,0.0,0.0,45.6,0.0,0
0.0,0.0,0.0,0.0,45.6,0.0,0
0.0,0.0,0.0,0.0,45.6,0.0,0
0.0,0.0,0.0,0.0,45.6,0.0,0
0.0,0.0,0.0,0.0,45.6,0.0,0
0.0,0.0,0.0,0.0,45.6,0.0,0
18.4,19.9,94.0,7.6,53.2,5.2,0
18.4,19.9,94.0,7.6,57.0,5.2,0
27.5,28.9,53.0,0.0,53.2,1.5,0
27.5,28.9,53.0,0.0,49.4,1.5,0
27.5,28.9,53.0,0.0,45.6,1.5,0
27.5,28.9,53.0,0.0,41.8,1.5,0
27.5,28.9,53.0,0.0,38.0,1.5,0
27.5,28.9,53.0,0.0,34.2,1.5,0
27.5,28.9,53.0,0.0,30.4,1.5,1
27.5,28.9,53.0,0.0,26.6,1.5,1
27.5,28.9,53.0,0.0,22.8,1.5,1
27.7,29.9,53.0,0.0,19.0,1.2,1
27.7,29.9,53.0,0.0,15.2,1.2,1
27.7,29.9,53.0,0.0,15.2,1.2,1
27.7,29.9,53.0,0.0,15.2,1.2,1
27.7,29.9,53.0,0.0,15.2,1.2,1
27.7,29.9,53.0,0.0,15.2,1.2,1
27.7,29.9,53.0,0.0,15.2,1.2,1
27.7,29.9,53.0,0.0,15.2,1.2,1
27.7,29.9,53.0,0.0,15.2,1.2,0
27.7,29.9,53.0,0.0,15.2,1.2,0
27.7,29.9,53.0,0.0,15.2,1.2,0
27.7,29.9,53.0,0.0,15.2,1.2,0
27.0,29.5,49.0,0.0,15.2,1.7,0
27.0,28.3,50.0,0.0,7.6,1.2,0
27.0,28.3,50.0,0.0,0.0,1.2,0
27.0,28.3,50.0,0.0,0.0,1.2,0
27.0,28.3,50.0,0.0,0.0,1.2,0
27.0,28.3,50.0,0.0,0.0,1.2,0
27.0,28.3,50.0,0.0,0.0,1.2,0
27.0,28.3,50.0,0.0,0.0,1.2,0
27.0,28.3,50.0,0.0,0.0,1.2,0
27.0,28.3,50.0,0.0,0.0,1.2,1
27.0,28.3,50.0,0.0,0.0,1.2,1
27.0,28.3,50.0,0.0,0.0,1.2,1
26.7,28.2,54.0,0.0,0.0,1.4,1
26.7,28.2,54.0,0.0,0.0,1.4,1
26.7,28.2,54.0,0.0,0.0,1.4,1
26.7,28.2,54.0,0.0,0.0,1.4,1
26.7,28.2,54.0,0.0,0.0,1.4,1
27.1,28.6,57.0,0.0,0.0,1.6,0
27.1,28.6,57.0,0.0,0.0,1.6,0
27.1,28.6,57.0,0.0,0.0,1.6,0
27.1,28.6,57.0,0.0,0.0,1.6,0
27.1,28.6,57.0,0.0,0.0,1.6,0
27.1,28.6,57.0,0.0,0.0,1.6,0
26.7,28.9,62.0,0.0,0.0,1.9,0
26.7,28.9,62.0,0.0,0.0,1.9,0
26.7,28.9,62.0,0.0,0.0,1.9,0
26.7,28.9,62.0,0.0,0.0,1.9,0
26.7,28.9,62.0,0.0,0.0,1.9,0
26.7,28.9,62.0,0.0,0.0,1.9,0
26.7,28.9,62.0,0.0,0.0,1.9,0
26.7,28.9,62.0,0.0,0.0,1.9,0
26.7,28.9,62.0,0.0,0.0,1.9,0
26.7,28.9,62.0,0.0,0.0,1.9,0
26.7,28.9,62.0,0.0,0.0,1.9,0
26.7,28.9,62.0,0.0,0.0,1.9,0
26.8,28.7,58.0,0.0,0.0,1.3,0
26.8,28.7,58.0,0.0,0.0,1.3,0
26.8,28.7,58.0,0.0,0.0,1.3,1
26.8,28.7,58.0,0.0,0.0,1.3,1
26.8,28.7,58.0,0.0,0.0,1.3,1
26.8,28.7,58.0,0.0,0.0,1.3,1
26.8,28.7,58.0,0.0,0.0,1.3,1
26.8,28.7,58.0,0.0,0.0,1.3,1
26.8,28.7,58.0,0.0,0.0,1.3,1
26.8,28.7,58.0,0.0,0.0,1.3,1
26.8,28.7,58.0,0.0,0.0,1.3,1
26.8,28.7,58.0,0.0,0.0,1.3,1
26.2,28.6,66.0,0.0,0.0,1.5,1
26.2,28.6,66.0,0.0,0.0,1.5,1
26.2,28.6,66.0,0.0,0.0,1.5,1
26.2,28.6,66.0,0.0,0.0,1.5,1
26.2,28.6,66.0,0.0,0.0,1.5,1
26.2,28.6,66.0,0.0,0.0,1.5,1
26.2,28.6,66.0,0.0,0.0,1.5,1
26.2,28.6,66.0,0.0,0.0,1.5,1
26.2,28.6,66.0,0.0,0.0,1.5,1
26.2,28.6,66.0,0.0,0.0,1.5,1
26.2,28.6,66.0,0.0,0.0,1.5,1
26.2,28.6,66.0,0.0,0.0,1.5,1
25.9,27.5,63.0,0.0,0.0,1.4,1
25.9,27.5,63.0,0.0,0.0,1.4,1
25.9,27.5,63.0,0.0,0.0,1.4,1
25.9,27.5,63.0,0.0,0.0,1.4,1
25.9,27.5,63.0,0.0,0.0,1.4,1
25.9,27.5,63.0,0.0,0.0,1.4,0
25.9,27.5,63.0,0.0,0.0,1.4,0
25.9,27.5,63.0,0.0,0.0,1.4,0
25.9,27.5,63.0,0.0,0.0,1.4,0
25.9,27.5,63.0,0.0,0.0,1.4,0
25.9,27.5,63.0,0.0,0.0,1.4,0
25.9,27.5,63.0,0.0,0.0,1.4,0
27.9,29.7,56.0,0.0,0.0,2.6,0
27.9,29.7,56.0,0.0,0.0,2.6,0
27.9,29.7,56.0,0.0,0.0,2.6,0
27.9,29.7,56.0,0.0,0.0,2.6,0
28.0,30.0,54.0,0.0,0.0,2.4,0
28.0,30.0,54.0,0.0,0.0,2.4,0
28.0,30.0,54.0,0.0,0.0,2.4,0
28.0,30.0,54.0,0.0,0.0,2.4,0
28.0,30.0,54.0,0.0,0.0,2.4,0
28.0,30.0,54.0,0.0,0.0,2.4,0
28.0,30.0,54.0,0.0,0.0,2.4,1
28.0,30.0,54.0,0.0,0.0,2.4,1
28.0,30.0,54.0,0.0,0.0,2.4,1
28.0,30.0,54.0,0.0,0.0,2.4,1
28.0,30.0,54.0,0.0,0.0,2.4,1
28.0,30.0,54.0,0.0,0.0,2.4,1
27.9,29.5,51.0,0.0,0.0,2.6,1
27.9,29.5,51.0,0.0,0.0,2.6,1
27.9,29.5,51.0,0.0,0.0,2.6,1
27.9,29.5,51.0,0.0,0.0,2.6,1
27.9,29.5,51.0,0.0,0.0,2.6,1
27.9,29.5,51.0,0.0,0.0,2.6,1
27.9,29.5,51.0,0.0,0.0,2.6,1
27.9,29.5,51.0,0.0,0.0,2.6,1
27.9,29.5,51.0,0.0,0.0,2.6,0
27.9,29.5,51.0,0.0,0.0,2.6,0
27.9,29.5,51.0,0.0,0.0,2.6,0
27.9,29.5,51.0,0.0,0.0,2.6,0
15.8,16.7,88.0,0.0,0.0,1.3,0
15.8,16.7,88.0,0.0,0.0,1.3,0
15.8,16.7,88.0,0.0,0.0,1.3,0
15.8,16.7,88.0,0.0,0.0,1.3,0
15.8,16.7,88.0,0.0,0.0,1.3,0
16.3,16.8,87.0,0.0,0.0,1.0,0
16.3,16.8,87.0,0.0,0.0,1.0,0
16.3,16.8,87.0,0.0,0.0,1.0,0
16.3,16.8,87.0,0.0,0.0,1.0,1
16.3,16.8,87.0,0.0,0.0,1.0,1
16.3,16.8,87.0,0.0,0.0,1.0,1
16.3,16.8,87.0,0.0,0.0,1.0,1
16.3,16.8,87.0,0.0,0.0,1.0,1
16.3,16.8,87.0,0.0,0.0,1.0,1
16.3,16.8,87.0,0.0,0.0,1.0,1
16.3,16.8,87.0,0.0,0.0,1.0,1
18.8,20.3,86.0,0.2,0.2,4.5,0
18.8,20.3,86.0,0.2,0.4,4.5,0
18.8,20.3,86.0,0.2,0.6,4.5,0
20.3,21.9,86.0,0.2,0.8,3.5,0
20.3,21.9,86.0,0.2,1.0,3.5,0
20.3,21.9,86.0,0.2,1.2,3.5,0
20.3,21.9,86.0,0.2,1.4,3.5,1
20.3,21.9,86.0,0.2,1.6,3.5,1
20.3,21.9,86.0,0.2,1.8,3.5,1
20.3,21.9,86.0,0.2,2.0,3.5,1
20.3,21.9,86.0,0.2,2.2,3.5,1
20.3,21.9,86.0,0.2,2.4,3.5,1
20.3,21.9,86.0,0.2,2.6,3.5,1
20.3,21.9,86.0,0.2,2.8,3.5,1
20.3,21.9,86.0,0.2,3.0,3.5,1
21.8,25.5,70.0,0.0,3.0,4.8,0
21.8,25.5,70.0,0.0,3.0,4.8,0
21.8,25.5,70.0,0.0,3.0,4.8,0
23.3,25.4,68.0,0.0,3.0,0.3,0
23.3,25.4,68.0,0.0,3.0,0.3,0
23.3,25.4,68.0,0.0,3.0,0.3,0
23.3,25.4,68.0,0.0,3.0,0.3,0
23.3,25.4,68.0,0.0,3.0,0.3,0
23.3,25.4,68.0,0.0,3.0,0.3,0
23.3,25.4,68.0,0.0,2.8,0.3,1
23.3,25.4,68.0,0.0,2.6,0.3,1
23.3,25.4,68.0,0.0,2.4,0.3,1
23.3,25.4,68.0,0.0,2.2,0.3,1
23.3,25.4,68.0,0.0,2.0,0.3,1
23.3,25.4,68.0,0.0,1.8,0.3,1
23.1,23.9,65.0,0.0,1.6,0.6,1
23.1,23.9,65.0,0.0,1.4,0.6,1
23.1,23.9,65.0,0.0,1.2,0.6,1
23.1,23.9,65.0,0.0,1.0,0.6,0
23.1,23.9,65.0,0.0,0.8,0.6,0
23.1,23.9,65.0,0.0,0.6,0.6,0
0.0,0.0,0.0,0.0,0.4,0.0,0
0.0,0.0,0.0,0.0,0.2,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
23.2,25.3,78.0,0.0,0.0,1.1,1
23.2,25.3,78.0,0.0,0.0,1.1,1
23.2,25.3,78.0,0.0,0.0,1.1,1
23.2,25.3,78.0,0.0,0.0,1.1,0
23.2,25.3,78.0,0.0,0.0,1.1,0
23.2,25.3,78.0,0.0,0.0,1.1,0
23.2,25.3,78.0,0.0,0.0,1.1,0
23.2,25.3,78.0,0.0,0.0,1.1,0
23.2,25.3,78.0,0.0,0.0,1.1,0
23.2,25.3,78.0,0.0,0.0,1.1,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,1
21.0,25.5,92.0,4.4,4.4,4.3,0
21.0,25.5,92.0,4.4,8.8,4.3,0
21.0,25.5,92.0,4.4,13.2,4.3,0
21.0,25.5,92.0,4.4,17.6,4.3,0
21.0,25.5,92.0,4.4,22.0,4.3,1
21.5,23.9,81.0,0.0,22.0,3.5,1
21.5,23.9,81.0,0.0,22.0,3.5,1
21.5,23.9,81.0,0.0,22.0,3.5,1
21.5,23.9,81.0,0.0,22.0,3.5,1
21.5,23.9,81.0,0.0,22.0,3.5,1
21.5,23.9,81.0,0.0,22.0,3.5,1
21.5,23.9,81.0,0.0,22.0,3.5,0
21.5,23.9,81.0,0.0,22.0,3.5,0
20.5,20.7,97.0,5.6,27.6,3.0,0
20.5,20.7,97.0,5.6,33.2,3.0,0
20.5,20.7,97.0,5.6,38.8,3.0,0
20.5,20.7,97.0,5.6,44.4,3.0,0
20.5,20.7,97.0,5.6,50.0,3.0,0
20.5,20.7,97.0,5.6,55.6,3.0,0
20.5,20.7,97.0,5.6,61.2,3.0,0
20.5,20.7,97.0,5.6,66.8,3.0,0
20.5,20.7,97.0,5.6,72.4,3.0,0
21.5,23.9,81.0,0.0,72.4,3.5,0
20.6,20.8,97.0,4.6,77.0,2.8,0
20.6,20.8,97.0,4.6,77.2,2.8,0
20.6,20.8,97.0,4.6,77.4,2.8,0
20.6,20.8,97.0,4.6,77.6,2.8,0
20.6,20.8,97.0,4.6,77.8,2.8,0
20.6,20.8,97.0,4.6,78.0,2.8,1
20.6,20.8,97.0,4.6,82.6,2.8,1
20.6,20.8,97.0,4.6,87.2,2.8,1
20.6,20.8,97.0,4.6,91.8,2.8,1
20.6,20.8,97.0,4.6,96.4,2.8,1
20.6,20.8,97.0,4.6,101.0,2.8,1
20.4,20.7,97.0,5.4,106.4,2.4,1
20.4,20.7,97.0,5.4,111.8,2.4,1
20.4,20.7,97.0,5.4,117.2,2.4,1
20.4,20.7,97.0,5.4,117.0,2.4,1
20.4,20.7,97.0,5.4,116.8,2.4,1
20.4,20.7,97.0,5.4,116.6,2.4,1
20.4,20.7,97.0,5.4,116.4,2.4,1
20.4,20.7,97.0,5.4,116.2,2.4,1
20.4,20.7,97.0,5.4,116.0,2.4,1
20.4,20.7,97.0,5.4,115.8,2.4,1
20.4,20.7,97.0,5.4,115.6,2.4,1
20.4,20.7,97.0,5.4,115.4,2.4,1
20.5,20.9,97.0,5.4,120.8,3.1,1
20.5,20.9,97.0,5.4,121.6,3.1,1
20.5,20.9,97.0,5.4,122.4,3.1,1
20.5,20.9,97.0,5.4,123.2,3.1,1
20.5,20.9,97.0,5.4,124.0,3.1,1
20.5,20.9,97.0,5.4,124.8,3.1,1
20.5,20.9,97.0,5.4,125.6,3.1,1
20.5,20.9,97.0,5.4,126.4,3.1,1
20.5,20.9,97.0,5.4,127.2,3.1,1
20.5,20.9,97.0,5.4,128.0,3.1,0
20.5,20.9,97.0,5.4,128.8,3.1,0
20.5,20.9,97.0,5.4,129.6,3.1,0
20.7,20.9,97.0,17.6,141.8,2.2,0
20.7,20.9,97.0,17.6,154.0,2.2,0
20.7,20.9,97.0,17.6,166.2,2.2,0
20.7,20.9,97.0,17.6,178.4,2.2,0
20.7,20.9,97.0,17.6,190.6,2.2,0
20.7,20.9,97.0,17.6,202.8,2.2,0
20.7,20.9,97.0,17.6,215.0,2.2,0
20.7,20.9,97.0,17.6,227.2,2.2,0
20.7,20.9,97.0,17.6,239.4,2.2,0
20.7,20.9,97.0,17.6,251.6,2.2,1
20.7,20.9,97.0,17.6,263.8,2.2,1
20.7,20.9,97.0,17.6,276.0,2.2,1
20.8,20.9,97.0,16.6,287.2,2.9,1
20.8,20.9,97.0,16.6,298.4,2.9,1
20.8,20.9,97.0,16.6,309.6,2.9,1
20.8,20.9,97.0,16.6,320.8,2.9,1
20.8,20.9,97.0,16.6,332.0,2.9,1
20.8,20.9,97.0,16.6,343.2,2.9,1
20.8,20.9,97.0,16.6,354.4,2.9,1
20.8,20.9,97.0,16.6,365.6,2.9,1
20.8,20.9,97.0,16.6,376.8,2.9,1
20.8,20.9,97.0,16.6,388.0,2.9,1
20.8,20.9,97.0,16.6,399.2,2.9,1
20.8,20.9,97.0,16.6,410.4,2.9,1
20.9,21.3,97.0,5.2,398.0,2.8,1
20.9,21.3,97.0,5.2,385.6,2.8,1
20.9,21.3,97.0,5.2,373.2,2.8,1
20.9,21.3,97.0,5.2,360.8,2.8,1
20.9,21.3,97.0,5.2,348.4,2.8,1
20.9,21.3,97.0,5.2,336.0,2.8,1
20.9,21.3,97.0,5.2,323.6,2.8,1
20.9,21.3,97.0,5.2,311.2,2.8,1
20.9,21.3,97.0,5.2,298.8,2.8,0
20.9,21.3,97.0,5.2,286.4,2.8,0
20.9,21.3,97.0,5.2,274.0,2.8,0
20.9,21.3,97.0,5.2,261.6,2.8,0
21.0,21.2,97.0,15.4,260.4,2.0,0
21.0,21.2,97.0,15.4,259.2,2.0,0
21.0,21.2,97.0,15.4,258.0,2.0,0
21.0,21.2,97.0,15.4,256.8,2.0,0
21.0,21.2,97.0,15.4,255.6,2.0,0
21.0,21.2,97.0,15.4,254.4,2.0,0
21.0,21.2,97.0,15.4,253.2,2.0,0
21.0,21.2,97.0,15.4,252.0,2.0,0
21.0,21.2,97.0,15.4,250.8,2.0,0
21.0,21.2,97.0,15.4,249.6,2.0,0
21.0,21.2,97.0,15.4,248.4,2.0,0
21.0,21.2,97.0,15.4,247.2,2.0,0
21.0,21.4,97.0,10.0,252.0,2.6,0
21.0,21.4,97.0,10.0,256.8,2.6,0
21.0,21.4,97.0,10.0,261.6,2.6,0
21.0,21.4,97.0,10.0,266.4,2.6,0
21.0,21.4,97.0,10.0,271.2,2.6,0
21.0,21.4,97.0,10.0,276.0,2.6,0
21.0,21.4,97.0,10.0,280.8,2.6,0
21.4,21.7,95.0,4.8,280.4,3.2,0
21.4,21.7,95.0,4.8,280.0,3.2,0
21.4,21.7,95.0,4.8,279.6,3.2,0
21.4,21.7,95.0,4.8,279.2,3.2,0
21.4,21.7,95.0,4.8,278.8,3.2,0
21.4,21.7,95.0,4.8,268.2,3.2,1
21.4,21.7,95.0,4.8,257.6,3.2,1
21.4,21.7,95.0,4.8,247.0,3.2,1
21.4,21.5,95.0,3.4,235.0,4.7,1
21.4,21.5,95.0,3.4,223.0,4.7,1
21.4,21.5,95.0,3.4,211.0,4.7,1
21.4,21.5,95.0,3.4,199.0,4.7,1
21.4,21.5,95.0,3.4,187.0,4.7,1
21.4,21.5,95.0,3.4,175.0,4.7,1
21.4,21.5,95.0,3.4,163.0,4.7,1
21.4,21.5,95.0,3.4,151.0,4.7,1
21.4,21.5,95.0,3.4,139.0,4.7,0
21.4,21.5,95.0,3.4,132.4,4.7,0
21.4,21.5,95.0,3.4,125.8,4.7,0
21.4,21.5,95.0,3.4,119.2,4.7,0
21.4,21.5,97.0,1.2,110.4,2.8,0
21.4,21.5,97.0,1.2,101.6,2.8,0
21.8,22.7,94.0,5.2,96.8,3.2,0
21.8,22.7,94.0,5.2,92.0,3.2,0
21.8,22.7,94.0,5.2,92.4,3.2,0
21.8,22.7,94.0,5.2,92.8,3.2,0
21.8,22.7,94.0,5.2,93.2,3.2,0
21.8,22.7,94.0,5.2,93.6,3.2,0
21.8,22.7,94.0,5.2,94.0,3.2,0
21.8,22.7,94.0,5.2,94.4,3.2,0
21.7,21.8,95.0,6.8,96.4,2.4,1
21.7,21.8,95.0,6.8,98.4,2.4,1
21.7,21.8,95.0,6.8,101.8,2.4,1
21.7,21.8,95.0,6.8,105.2,2.4,1
21.7,21.8,95.0,6.8,108.6,2.4,1
21.7,21.8,95.0,6.8,112.0,2.4,1
21.7,21.8,95.0,6.8,115.4,2.4,1
21.7,21.8,95.0,6.8,118.8,2.4,1
21.7,21.8,95.0,6.8,122.2,2.4,1
21.7,21.8,95.0,6.8,125.6,2.4,1
21.7,21.8,95.0,6.8,129.0,2.4,1
21.7,21.8,95.0,6.8,132.4,2.4,1
21.5,21.8,95.0,2.0,131.0,2.8,1
21.5,21.8,95.0,2.0,129.6,2.8,1
21.5,21.8,95.0,2.0,130.4,2.8,1
21.5,21.8,95.0,2.0,131.2,2.8,1
21.5,21.8,95.0,2.0,128.0,2.8,0
21.5,21.8,95.0,2.0,124.8,2.8,0
21.5,21.8,95.0,2.0,121.6,2.8,0
21.5,21.8,95.0,2.0,118.4,2.8,0
